Image,h5_fooled,nit_h5,h5_wprediction,h5_to_tflite,h5_to_tflite_wprediction,h5_to_axc,h5_to_axc_wprediction,tflite_fooled,nit_tflite,tflite_wprediction,tflite_to_axc,tflite_to_axc_wprediction,axc_fooled,nit_axc,axc_wprediction,axc_to_h5_back
7133,True,2,0.7341146,False,0,False,0,False,1,0,False,0,False,1,0,False
7135,True,1,0.96163803,False,0,False,0,True,12,0.79296875,False,0,False,1,0,False
7136,False,1,0,False,0,False,0,False,1,0,False,0,False,1,0,False
7139,True,1,0.9511534,False,0,False,0,False,1,0,False,0,False,1,0,False
7140,True,5,0.7505033,False,0,False,0,False,1,0,False,0,False,36,0,False
7142,True,1,0.9999349,True,0.63671875,False,0,True,1,0.96484375,True,0.39099485023767033,True,97,0.39099485023767033,True
7144,False,1,0,False,0,False,0,False,1,0,False,0,False,1,0,False
7146,False,1,0,False,0,False,0,False,1,0,False,0,False,1,0,False
7148,False,1,0,False,0,False,0,False,1,0,False,0,False,1,0,False
7149,True,1,0.9991007,True,0.78125,True,0.35665734821791706,True,1,0.9453125,False,0,False,95,0,False
7151,False,1,0,False,0,False,0,False,1,0,False,0,False,1,0,False
7153,True,1,0.999153,False,0,False,0,True,1,0.94140625,True,0.4468206782507918,True,74,0.4468206782507918,True
7154,True,1,0.9926596,False,0,False,0,False,1,0,False,0,False,90,0,False
7155,True,3,0.9875178,False,0,False,0,False,1,0,False,0,False,1,0,False
7156,False,1,0,False,0,False,0,False,1,0,False,0,False,1,0,False
7158,True,5,0.8362899,False,0,False,0,False,1,0,False,0,False,1,0,False
7160,True,1,0.9999902,False,0,False,0,True,1,0.9765625,False,0,False,97,0,False
7161,True,1,0.9722651,True,0.3203125,False,0,True,1,0.984375,True,0.35399137503006334,True,97,0.35399137503006334,False
7163,False,1,0,False,0,False,0,False,1,0,False,0,False,1,0,False
7164,True,1,0.9908075,False,0,False,0,False,1,0,False,0,False,1,0,False
7165,False,1,0,False,0,False,0,False,1,0,False,0,False,1,0,False
